REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
CENTRAL REGION,DOWA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,177087
CENTRAL REGION,DOWA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,842
CENTRAL REGION,DOWA,Prof. John CHISI,UP,#948A54,417
CENTRAL REGION,DOWA,Friday Anderson JUMBE,NLP,#948A54,302
CENTRAL REGION,DOWA,Aaron Davies Chester KATSONGA,CCP,#975D2A,186
CENTRAL REGION,DOWA,Mark KATSONGA PHIRI,PPM,#C00000,220
CENTRAL REGION,DOWA,Atupele MULUZI,UDF,#FCF600,3495
CENTRAL REGION,DOWA,Prof. Peter MUTHARIKA,DPP,#00B0F0,18468
CENTRAL REGION,DOWA,George NNENSA,MAFUNDE,#948A54,180
CENTRAL REGION,DOWA,James Mbowe NYONDO,NASAF,#948A54,174
CENTRAL REGION,DOWA,Abusa Helen SINGH,UIP,#948A54,224
CENTRAL REGION,SALIMA,Dr. Joyce Hilda BANDA,PP,#FF6400,29263
CENTRAL REGION,SALIMA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,48383
CENTRAL REGION,SALIMA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,530
CENTRAL REGION,SALIMA,Prof. John CHISI,UP,#948A54,369
CENTRAL REGION,SALIMA,Friday Anderson JUMBE,NLP,#948A54,246
CENTRAL REGION,SALIMA,Aaron Davies Chester KATSONGA,CCP,#975D2A,114
CENTRAL REGION,SALIMA,Mark KATSONGA PHIRI,PPM,#C00000,490
CENTRAL REGION,SALIMA,Atupele MULUZI,UDF,#FCF600,24874
CENTRAL REGION,SALIMA,Prof. Peter MUTHARIKA,DPP,#00B0F0,21569
CENTRAL REGION,SALIMA,George NNENSA,MAFUNDE,#948A54,239
CENTRAL REGION,SALIMA,James Mbowe NYONDO,NASAF,#948A54,177
CENTRAL REGION,SALIMA,Abusa Helen SINGH,UIP,#948A54,249
CENTRAL REGION,MCHINJI,Dr. Joyce Hilda BANDA,PP,#FF6400,22372
CENTRAL REGION,MCHINJI,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,121478
CENTRAL REGION,MCHINJI,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,677
CENTRAL REGION,MCHINJI,Prof. John CHISI,UP,#948A54,294
CENTRAL REGION,MCHINJI,Friday Anderson JUMBE,NLP,#948A54,153
CENTRAL REGION,MCHINJI,Aaron Davies Chester KATSONGA,CCP,#975D2A,135
CENTRAL REGION,MCHINJI,Mark KATSONGA PHIRI,PPM,#C00000,315
CENTRAL REGION,MCHINJI,Atupele MULUZI,UDF,#FCF600,7711
CENTRAL REGION,MCHINJI,Prof. Peter MUTHARIKA,DPP,#00B0F0,20284
CENTRAL REGION,MCHINJI,George NNENSA,MAFUNDE,#948A54,254
CENTRAL REGION,MCHINJI,James Mbowe NYONDO,NASAF,#948A54,152
CENTRAL REGION,MCHINJI,Abusa Helen SINGH,UIP,#948A54,259
CENTRAL REGION,LILONGWE,Dr. Joyce Hilda BANDA,PP,#FF6400,52481
CENTRAL REGION,LILONGWE,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,486047
CENTRAL REGION,LILONGWE,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,2113
CENTRAL REGION,LILONGWE,Prof. John CHISI,UP,#948A54,939
CENTRAL REGION,LILONGWE,Friday Anderson JUMBE,NLP,#948A54,527
CENTRAL REGION,LILONGWE,Aaron Davies Chester KATSONGA,CCP,#975D2A,362
CENTRAL REGION,LILONGWE,Mark KATSONGA PHIRI,PPM,#C00000,946
CENTRAL REGION,LILONGWE,Atupele MULUZI,UDF,#FCF600,56090
CENTRAL REGION,LILONGWE,Prof. Peter MUTHARIKA,DPP,#00B0F0,135615
CENTRAL REGION,LILONGWE,George NNENSA,MAFUNDE,#948A54,652
CENTRAL REGION,LILONGWE,James Mbowe NYONDO,NASAF,#948A54,1155
CENTRAL REGION,LILONGWE,Abusa Helen SINGH,UIP,#948A54,742
CENTRAL REGION,DEDZA,Dr. Joyce Hilda BANDA,PP,#FF6400,28113
CENTRAL REGION,DEDZA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,139497
CENTRAL REGION,DEDZA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,1031
CENTRAL REGION,DEDZA,Prof. John CHISI,UP,#948A54,554
CENTRAL REGION,DEDZA,Friday Anderson JUMBE,NLP,#948A54,371
CENTRAL REGION,DEDZA,Aaron Davies Chester KATSONGA,CCP,#975D2A,212
CENTRAL REGION,DEDZA,Mark KATSONGA PHIRI,PPM,#C00000,339
CENTRAL REGION,DEDZA,Atupele MULUZI,UDF,#FCF600,20387
CENTRAL REGION,DEDZA,Prof. Peter MUTHARIKA,DPP,#00B0F0,21291
CENTRAL REGION,DEDZA,George NNENSA,MAFUNDE,#948A54,295
CENTRAL REGION,DEDZA,James Mbowe NYONDO,NASAF,#948A54,268
CENTRAL REGION,DEDZA,Abusa Helen SINGH,UIP,#948A54,359
CENTRAL REGION,NTCHEU,Dr. Joyce Hilda BANDA,PP,#FF6400,18484
CENTRAL REGION,NTCHEU,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,15884
CENTRAL REGION,NTCHEU,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,993
CENTRAL REGION,NTCHEU,Prof. John CHISI,UP,#948A54,440
CENTRAL REGION,NTCHEU,Friday Anderson JUMBE,NLP,#948A54,445
CENTRAL REGION,NTCHEU,Aaron Davies Chester KATSONGA,CCP,#975D2A,238
CENTRAL REGION,NTCHEU,Mark KATSONGA PHIRI,PPM,#C00000,573
CENTRAL REGION,NTCHEU,Atupele MULUZI,UDF,#FCF600,16326
CENTRAL REGION,NTCHEU,Prof. Peter MUTHARIKA,DPP,#00B0F0,123703
CENTRAL REGION,NTCHEU,George NNENSA,MAFUNDE,#948A54,890
CENTRAL REGION,NTCHEU,James Mbowe NYONDO,NASAF,#948A54,278
CENTRAL REGION,NTCHEU,Abusa Helen SINGH,UIP,#948A54,518
SOUTHERN REGION,MANGOCHI,Dr. Joyce Hilda BANDA,PP,#FF6400,44616
SOUTHERN REGION,MANGOCHI,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,7240
SOUTHERN REGION,MANGOCHI,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,1604
SOUTHERN REGION,MANGOCHI,Prof. John CHISI,UP,#948A54,1047
SOUTHERN REGION,MANGOCHI,Friday Anderson JUMBE,NLP,#948A54,995
